SBCode,Sandbox Id,Trigger approved,Initial Approved,Billing Budget History,Cost Budget History,Budget Approval Status
SB22161,8914,TRUE,TRUE,717800.00 ,0.00 ,Approved
SB21911,5082,TRUE,TRUE,4000000.00 ,0.00 ,Approved
SB21386,10532,TRUE,TRUE,400000.00 ,0.00 ,Approved
SB21466,9925,TRUE,TRUE,1000000.00 ,0.00 ,Approved
SB21528,8728,TRUE,TRUE,4417437.00 ,4008442.82 ,Approved
SB21697,8729,TRUE,TRUE,1330560.00 ,1259600.00 ,Approved
SB21700,8730,TRUE,TRUE,401218.40 ,278646.00 ,Approved
SB21703,8731,TRUE,TRUE,3109238.00 ,1723662.63 ,Approved
SB21704,8732,TRUE,TRUE,415514.00 ,377740.00 ,Approved
SB21718,10579,TRUE,TRUE,49063401.00 ,17667663.00 ,Approved
SB21733,8733,TRUE,TRUE,162635.00 ,111886.00 ,Approved
SB21768,10533,TRUE,TRUE,2550462.00 ,1045400.00 ,Approved
SB21770,8734,TRUE,TRUE,2413600.00 ,1855318.54 ,Approved
SB21797,8735,TRUE,TRUE,489783.00 ,209322.00 ,Approved
SB21800,8736,TRUE,TRUE,1933840.00 ,996519.00 ,Approved
SB21804,8737,TRUE,TRUE,11400000.00 ,9594290.80 ,Approved
SB21807,8738,TRUE,TRUE,24389088.00 ,20299475.04 ,Approved
SB21814,8739,TRUE,TRUE,409750.00 ,96922.50 ,Approved
SB21825,10580,TRUE,TRUE,29512410.00 ,18212320.00 ,Approved
SB21829,8740,TRUE,TRUE,2527500.00 ,757425.00 ,Approved
SB21847,8741,TRUE,TRUE,67831.00 ,19749.00 ,Approved
SB21859,8742,TRUE,TRUE,344008695.65 ,285906313.16 ,Approved
SB21861,8743,TRUE,TRUE,43169821.00 ,30543695.48 ,Approved
SB21873,8744,TRUE,TRUE,3297085.00 ,2158341.60 ,Approved
SB21888,8745,TRUE,TRUE,5035200.00 ,4409926.00 ,Approved
SB21911,5082,TRUE,TRUE,6002832.00 ,4416323.00 ,Approved
SB21914,8747,TRUE,TRUE,263375.00 ,188035.00 ,Approved
SB21917,8748,TRUE,TRUE,3174924.93 ,2754926.00 ,Approved
SB21920,8749,TRUE,TRUE,415000.00 ,6500.00 ,Approved
SB21930,8750,TRUE,TRUE,180070.00 ,105729.00 ,Approved
SB21931,8751,TRUE,TRUE,1785916.00 ,1339437.00 ,Approved
SB21935,8752,TRUE,TRUE,2397035.40 ,1875000.00 ,Approved
SB21939,8753,TRUE,TRUE,123389.25 ,112172.72 ,Approved
SB21940,8754,TRUE,TRUE,5718840.00 ,4662115.37 ,Approved
SB21942,9926,TRUE,TRUE,995500.00 ,450000.00 ,Approved
SB21944,8755,TRUE,TRUE,1712265.28 ,1392963.00 ,Approved
SB21945,8756,TRUE,TRUE,2246564.16 ,1574569.50 ,Approved
SB21947,8757,TRUE,TRUE,566389.00 ,413119.00 ,Approved
SB21954,8758,TRUE,TRUE,1241937.00 ,706351.40 ,Approved
SB21960,8759,TRUE,TRUE,7890000.00 ,4926692.35 ,Approved
SB21961,8760,TRUE,TRUE,335680.00 ,112786.00 ,Approved
SB21975,8761,TRUE,TRUE,480306.00 ,306000.00 ,Approved
SB21981,8762,TRUE,TRUE,850000.00 ,137474.00 ,Approved
SB21982,8763,TRUE,TRUE,25313041.00 ,17335927.00 ,Approved
SB21983,9342,TRUE,TRUE,27520.00 ,24150.00 ,Approved
SB21984,8764,TRUE,TRUE,32750.00 ,25000.00 ,Approved
SB21985,8765,TRUE,TRUE,150000.00 ,134018.00 ,Approved
SB21986,8766,TRUE,TRUE,269236.00 ,220580.00 ,Approved
SB21987,9343,TRUE,TRUE,31390.00 ,27717.00 ,Approved
SB21988,8767,TRUE,TRUE,819005.00 ,639222.00 ,Approved
SB21989,8768,TRUE,TRUE,628998.66 ,296318.33 ,Approved
SB21990,8769,TRUE,TRUE,4963500.00 ,4592717.42 ,Approved
SB21991,8770,TRUE,TRUE,9930859.96 ,4748000.00 ,Approved
SB21992,10534,TRUE,TRUE,1000000.00 ,0.00 ,Approved
SB21993,8771,TRUE,TRUE,520190.00 ,238574.00 ,Approved
SB21995,8772,TRUE,TRUE,3034350.00 ,1777483.89 ,Approved
SB21996,8773,TRUE,TRUE,402500.00 ,251945.00 ,Approved
SB21997,8774,TRUE,TRUE,300840.00 ,213700.00 ,Approved
SB21998,8775,TRUE,TRUE,1995730.62 ,1190729.00 ,Approved
SB21999,8776,TRUE,TRUE,3666447.00 ,2943714.50 ,Approved
SB22000,8777,TRUE,TRUE,53120.00 ,34484.75 ,Approved
SB22001,8778,TRUE,TRUE,825000.00 ,348030.48 ,Approved
SB22002,8779,TRUE,TRUE,2245584.00 ,1648897.50 ,Approved
SB22003,8780,TRUE,TRUE,304464.00 ,248537.00 ,Approved
SB22004,8781,TRUE,TRUE,181887.50 ,88730.00 ,Approved
SB22005,8782,TRUE,TRUE,3302404.00 ,2438223.00 ,Approved
SB22007,9685,TRUE,TRUE,72600.00 ,30091.00 ,Approved
SB22008,8783,TRUE,TRUE,1570800.00 ,1200000.00 ,Approved
SB22009,8784,TRUE,TRUE,166100.00 ,121265.00 ,Approved
SB22010,8785,TRUE,TRUE,3465250.00 ,2761437.83 ,Approved
SB22011,8786,TRUE,TRUE,31325.00 ,23493.75 ,Approved
SB22012,8787,TRUE,TRUE,876090.86 ,642558.61 ,Approved
SB22013,8788,TRUE,TRUE,1528120.00 ,929109.00 ,Approved
SB22015,8789,TRUE,TRUE,626789.00 ,359650.00 ,Approved
SB22016,8790,TRUE,TRUE,774974.00 ,515516.85 ,Approved
SB22017,8791,TRUE,TRUE,693500.00 ,306599.55 ,Approved
SB22018,8792,TRUE,TRUE,112725.00 ,84543.75 ,Approved
SB22019,8793,TRUE,TRUE,1245000.00 ,952500.00 ,Approved
SB22020,8794,TRUE,TRUE,71500.00 ,24000.00 ,Approved
SB22021,8795,TRUE,TRUE,511164.00 ,384219.00 ,Approved
SB22022,9344,TRUE,TRUE,10750.00 ,10000.00 ,Approved
SB22023,8796,TRUE,TRUE,2297922.00 ,1579546.00 ,Approved
SB22024,8797,TRUE,TRUE,30536.00 ,16268.00 ,Approved
SB22025,8798,TRUE,TRUE,471436.95 ,370785.00 ,Approved
SB22026,8799,TRUE,TRUE,3392565.50 ,2706652.34 ,Approved
SB22027,8800,TRUE,TRUE,1596210.00 ,1280587.00 ,Approved
SB22028,8801,TRUE,TRUE,3366144.00 ,2462445.37 ,Approved
SB22029,8802,TRUE,TRUE,411290.00 ,313140.00 ,Approved
SB22030,8803,TRUE,TRUE,2511414.40 ,2020188.04 ,Approved
SB22031,8804,TRUE,TRUE,5884010.00 ,4914843.00 ,Approved
SB22034,8805,TRUE,TRUE,4071097.00 ,3179889.65 ,Approved
SB22035,8806,TRUE,TRUE,92858.50 ,34250.00 ,Approved
SB22036,9360,TRUE,TRUE,38484.00 ,23016.00 ,Approved
SB22037,9345,TRUE,TRUE,111546.00 ,94500.00 ,Approved
SB22038,9686,TRUE,TRUE,2315786.00 ,1496394.00 ,Approved
SB22039,9346,TRUE,TRUE,32250.00 ,30300.00 ,Approved
SB22040,8807,TRUE,TRUE,1976243.00 ,1481491.00 ,Approved
SB22041,8808,TRUE,TRUE,3973402.00 ,3147323.03 ,Approved
SB22042,8809,TRUE,TRUE,240889.00 ,140000.00 ,Approved
SB22043,8810,TRUE,TRUE,42795151.00 ,26647633.96 ,Approved
SB22044,8811,TRUE,TRUE,2675778.00 ,639259.00 ,Approved
SB22045,8812,TRUE,TRUE,3280032.00 ,3181461.00 ,Approved
SB22046,8813,TRUE,TRUE,348662.00 ,252000.00 ,Approved
SB22047,8814,TRUE,TRUE,4426556.53 ,2499318.56 ,Approved
SB22048,8815,TRUE,TRUE,6225923.00 ,4696502.45 ,Approved
SB22049,8816,TRUE,TRUE,256360.00 ,192270.00 ,Approved
SB22050,8817,TRUE,TRUE,1359963.00 ,1144753.00 ,Approved
SB22051,8818,TRUE,TRUE,18645.00 ,7250.00 ,Approved
SB22052,8819,TRUE,TRUE,103831.40 ,50690.00 ,Approved
SB22053,8820,TRUE,TRUE,76252.58 ,24485.00 ,Approved
SB22054,8821,TRUE,TRUE,3111324.00 ,2625760.40 ,Approved
SB22055,8822,TRUE,TRUE,3616045.40 ,2291320.49 ,Approved
SB22056,8823,TRUE,TRUE,1804963.00 ,1573003.03 ,Approved
SB22057,8824,TRUE,TRUE,1926650.00 ,1416948.76 ,Approved
SB22058,8825,TRUE,TRUE,3734337.00 ,2327023.83 ,Approved
SB22059,8826,TRUE,TRUE,1036409.00 ,999219.00 ,Approved
SB22060,8827,TRUE,TRUE,940337.20 ,511314.00 ,Approved
SB22061,8828,TRUE,TRUE,131841.00 ,80700.00 ,Approved
SB22062,8829,TRUE,TRUE,1646855.78 ,1193731.47 ,Approved
SB22063,8830,TRUE,TRUE,694788.50 ,553329.00 ,Approved
SB22064,8831,TRUE,TRUE,670367.00 ,453062.00 ,Approved
SB22065,8832,TRUE,TRUE,1486833.00 ,134800.00 ,Approved
SB22066,8833,TRUE,TRUE,221914.00 ,173650.00 ,Approved
SB22067,8834,TRUE,TRUE,619239.50 ,498889.32 ,Approved
SB22068,8835,TRUE,TRUE,884349.00 ,9617.00 ,Approved
SB22069,8836,TRUE,TRUE,3679065.08 ,2395463.31 ,Approved
SB22070,8837,TRUE,TRUE,664855.50 ,462022.20 ,Approved
SB22071,8838,TRUE,TRUE,372075.00 ,279056.25 ,Approved
SB22072,8839,TRUE,TRUE,742134.40 ,220432.80 ,Approved
SB22073,8840,TRUE,TRUE,1005156.00 ,688588.44 ,Approved
SB22074,9347,TRUE,TRUE,191232.00 ,163480.00 ,Approved
SB22075,8841,TRUE,TRUE,541683.00 ,384816.00 ,Approved
SB22076,8842,TRUE,TRUE,842319.80 ,673976.00 ,Approved
SB22077,9687,TRUE,TRUE,822332.00 ,630449.43 ,Approved
SB22078,8843,TRUE,TRUE,632808.00 ,427785.00 ,Approved
SB22079,8844,TRUE,TRUE,2145113.96 ,1730469.11 ,Approved
SB22080,8845,TRUE,TRUE,10520500.00 ,8260156.00 ,Approved
SB22081,8846,TRUE,TRUE,2500730.00 ,1307870.17 ,Approved
SB22082,8847,TRUE,TRUE,3106091.00 ,2124469.28 ,Approved
SB22083,8848,TRUE,TRUE,321915.00 ,175445.00 ,Approved
SB22084,8849,TRUE,TRUE,174900.00 ,94383.00 ,Approved
SB22085,8850,TRUE,TRUE,245394.60 ,171652.00 ,Approved
SB22086,8851,TRUE,TRUE,640783.00 ,416540.00 ,Approved
SB22087,8852,TRUE,TRUE,14100000.00 ,11695633.17 ,Approved
SB22088,8853,TRUE,TRUE,6639050.00 ,5049339.86 ,Approved
SB22089,8854,TRUE,TRUE,21900000.00 ,17069132.20 ,Approved
SB22090,8855,TRUE,TRUE,25528081.00 ,19312782.31 ,Approved
SB22091,8856,TRUE,TRUE,540171.72 ,411227.90 ,Approved
SB22092,8857,TRUE,TRUE,361900.00 ,273000.00 ,Approved
SB22093,8858,TRUE,TRUE,70422.00 ,55320.00 ,Approved
SB22094,8859,TRUE,TRUE,498305.00 ,373728.75 ,Approved
SB22095,8860,TRUE,TRUE,300000.00 ,159202.00 ,Approved
SB22096,8861,TRUE,TRUE,737748.00 ,533601.00 ,Approved
SB22097,8862,TRUE,TRUE,16500000.00 ,13938514.91 ,Approved
SB22098,8863,TRUE,TRUE,9393104.58 ,5535285.50 ,Approved
SB22099,8864,TRUE,TRUE,2399999.00 ,1995505.89 ,Approved
SB22100,8865,TRUE,TRUE,121594.00 ,82500.00 ,Approved
SB22101,8866,TRUE,TRUE,894242.00 ,709568.00 ,Approved
SB22102,8867,TRUE,TRUE,107568.00 ,77104.00 ,Approved
SB22103,8868,TRUE,TRUE,331771.68 ,190000.00 ,Approved
SB22104,9348,TRUE,TRUE,3010.00 ,2500.00 ,Approved
SB22105,8869,TRUE,TRUE,3677740.00 ,2784912.61 ,Approved
SB22106,9349,TRUE,TRUE,31847.00 ,29159.00 ,Approved
SB22107,9688,TRUE,TRUE,1977366.70 ,1593037.65 ,Approved
SB22108,8870,TRUE,TRUE,364430.00 ,320458.41 ,Approved
SB22109,8871,TRUE,TRUE,98450.00 ,55922.00 ,Approved
SB22110,8872,TRUE,TRUE,3139842.00 ,2772257.97 ,Approved
SB22111,8873,TRUE,TRUE,2824355.95 ,1525725.24 ,Approved
SB22112,8874,TRUE,TRUE,275000.00 ,200000.00 ,Approved
SB22113,8875,TRUE,TRUE,347099.00 ,312086.06 ,Approved
SB22114,8876,TRUE,TRUE,4717462.50 ,3690934.38 ,Approved
SB22115,9570,TRUE,TRUE,10000000.00 ,7379318.00 ,Approved
SB22116,8877,TRUE,TRUE,822437.00 ,616827.75 ,Approved
SB22117,8878,TRUE,TRUE,15000.00 ,11250.00 ,Approved
SB22118,8879,TRUE,TRUE,554777.50 ,329108.00 ,Approved
SB22119,8880,TRUE,TRUE,335891.48 ,208845.39 ,Approved
SB22120,8881,TRUE,TRUE,24200000.00 ,17317735.00 ,Approved
SB22121,8882,TRUE,TRUE,7293905.00 ,2974284.49 ,Approved
SB22122,8883,TRUE,TRUE,305986.00 ,121175.00 ,Approved
SB22123,8884,TRUE,TRUE,2474175.00 ,1399263.00 ,Approved
SB22124,8885,TRUE,TRUE,2270075.00 ,2005600.00 ,Approved
SB22125,8886,TRUE,TRUE,2550110.00 ,1806668.36 ,Approved
SB22126,8887,TRUE,TRUE,3100000.00 ,968947.97 ,Approved
SB22127,9689,TRUE,TRUE,2928934.14 ,2100423.87 ,Approved
SB22128,8888,TRUE,TRUE,179025.00 ,7158.00 ,Approved
SB22129,8889,TRUE,TRUE,499917.00 ,280000.00 ,Approved
SB22130,8890,TRUE,TRUE,88485.00 ,38202.00 ,Approved
SB22131,8891,TRUE,TRUE,9678132.00 ,8439053.06 ,Approved
SB22132,8892,TRUE,TRUE,202950.00 ,157410.00 ,Approved
SB22133,9690,TRUE,TRUE,99000.00 ,73926.00 ,Approved
SB22134,8893,TRUE,TRUE,228066.30 ,168403.00 ,Approved
SB22135,9350,TRUE,TRUE,1344395.00 ,971729.48 ,Approved
SB22136,9691,TRUE,TRUE,13728189.20 ,10141323.45 ,Approved
SB22137,8894,TRUE,TRUE,1400000.00 ,798042.45 ,Approved
SB22138,8895,TRUE,TRUE,203500.00 ,185000.00 ,Approved
SB22139,8896,TRUE,TRUE,4495685.00 ,4246057.60 ,Approved
SB22140,8897,TRUE,TRUE,730920.45 ,554945.90 ,Approved
SB22141,8898,TRUE,TRUE,734758.20 ,638479.99 ,Approved
SB22142,9692,TRUE,TRUE,903788.00 ,485179.00 ,Approved
SB22143,8899,TRUE,TRUE,31647.00 ,27506.00 ,Approved
SB22144,8900,TRUE,TRUE,468237.00 ,194844.00 ,Approved
SB22145,8901,TRUE,TRUE,367000.00 ,285000.00 ,Approved
SB22146,8902,TRUE,TRUE,44440.00 ,40400.00 ,Approved
SB22147,8903,TRUE,TRUE,800000.00 ,529210.82 ,Approved
SB22148,8904,TRUE,TRUE,183700.00 ,101152.00 ,Approved
SB22149,8905,TRUE,TRUE,1592250.00 ,1282475.00 ,Approved
SB22150,8906,TRUE,TRUE,213400.00 ,96737.00 ,Approved
SB22151,8907,TRUE,TRUE,72800.00 ,52000.00 ,Approved
SB22152,8908,TRUE,TRUE,111550.00 ,36000.00 ,Approved
SB22153,9351,TRUE,TRUE,39936.25 ,27000.00 ,Approved
SB22154,8909,TRUE,TRUE,44617630.61 ,29521506.25 ,Approved
SB22155,8910,TRUE,TRUE,122823.00 ,86075.36 ,Approved
SB22156,8911,TRUE,TRUE,867267.00 ,20000.00 ,Approved
SB22157,8912,TRUE,TRUE,1593752.80 ,808939.75 ,Approved
SB22158,9571,TRUE,TRUE,12761382.00 ,7821661.00 ,Approved
SB22159,8913,TRUE,TRUE,50990000.00 ,21238770.00 ,Approved
SB22160,9693,TRUE,TRUE,1808620.00 ,1527926.43 ,Approved
SB22161,8914,TRUE,TRUE,1500000.00 ,629985.75 ,Approved
SB22162,8915,TRUE,TRUE,482132.00 ,98750.00 ,Approved
SB22163,8916,TRUE,TRUE,80300.00 ,39008.86 ,Approved
SB22164,8917,TRUE,TRUE,47500.00 ,36500.00 ,Approved
SB22166,8918,TRUE,TRUE,96250.00 ,44385.80 ,Approved
SB22167,8919,TRUE,TRUE,675073.10 ,247495.00 ,Approved
SB22168,8920,TRUE,TRUE,396671.00 ,291324.00 ,Approved
SB22169,9694,TRUE,TRUE,1259716.50 ,886060.00 ,Approved
SB22170,8921,TRUE,TRUE,2671544.50 ,1765585.95 ,Approved
SB22171,8922,TRUE,TRUE,5047660.00 ,3904061.00 ,Approved
SB22172,8923,TRUE,TRUE,330087.35 ,226040.00 ,Approved
SB22173,9927,TRUE,TRUE,399910.00 ,267606.00 ,Approved
SB22174,8924,TRUE,TRUE,111100.00 ,100475.00 ,Approved
SB22175,8925,TRUE,TRUE,1105068.00 ,422896.00 ,Approved
SB22176,9572,TRUE,TRUE,900794.00 ,399611.00 ,Approved
SB22177,8926,TRUE,TRUE,1520552.00 ,1044213.00 ,Approved
SB22178,8927,TRUE,TRUE,32852267.00 ,17885745.08 ,Approved
SB22179,9696,TRUE,TRUE,130823.00 ,101442.61 ,Approved
SB22180,8928,TRUE,TRUE,20844.00 ,16079.00 ,Approved
SB22181,8929,TRUE,TRUE,353270.50 ,239742.00 ,Approved
SB22182,8930,TRUE,TRUE,53406.00 ,37000.00 ,Approved
SB22183,8931,TRUE,TRUE,1500000.00 ,1500000.00 ,Approved
SB22184,8932,TRUE,TRUE,547625.00 ,410718.75 ,Approved
SB22185,9697,TRUE,TRUE,12516692.82 ,7972323.33 ,Approved
SB22186,8933,TRUE,TRUE,3779727.00 ,3585364.30 ,Approved
SB22187,8934,TRUE,TRUE,1840250.00 ,1288905.00 ,Approved
SB22188,8935,TRUE,TRUE,5887750.00 ,5004586.00 ,Approved
SB22189,8936,TRUE,TRUE,6526623.00 ,5216147.80 ,Approved
SB22190,9573,TRUE,TRUE,3786475.00 ,2909000.00 ,Approved
SB22191,9698,TRUE,TRUE,7905506.00 ,5262592.89 ,Approved
SB22192,9699,TRUE,TRUE,259600.00 ,216230.34 ,Approved
SB22193,8937,TRUE,TRUE,131450.00 ,87415.00 ,Approved
SB22194,8938,TRUE,TRUE,800000.00 ,693343.17 ,Approved
SB22195,8939,TRUE,TRUE,302049.00 ,90000.00 ,Approved
SB22196,8940,TRUE,TRUE,18964880.00 ,13171800.00 ,Approved
SB22197,8941,TRUE,TRUE,2271196.74 ,1461602.73 ,Approved
SB22198,8942,TRUE,TRUE,617700.00 ,483613.00 ,Approved
SB22199,9700,TRUE,TRUE,225630.00 ,112382.00 ,Approved
SB22200,8943,TRUE,TRUE,649880.00 ,450500.00 ,Approved
SB22201,9352,TRUE,TRUE,144471.40 ,128001.26 ,Approved
SB22202,8944,TRUE,TRUE,147554.24 ,95630.00 ,Approved
SB22203,9701,TRUE,TRUE,600929.00 ,521706.00 ,Approved
SB22204,8945,TRUE,TRUE,5600000.00 ,2892235.65 ,Approved
SB22205,8946,TRUE,TRUE,720339.00 ,332364.00 ,Approved
SB22206,8947,TRUE,TRUE,1050185.40 ,954714.40 ,Approved
SB22207,8948,TRUE,TRUE,1549175.00 ,1262079.46 ,Approved
SB22208,8949,TRUE,TRUE,1303397.00 ,419689.00 ,Approved
SB22209,8950,TRUE,TRUE,168300.00 ,89500.00 ,Approved
SB22210,8951,TRUE,TRUE,414964.73 ,311223.55 ,Approved
SB22211,8952,TRUE,TRUE,1934874.00 ,1647831.00 ,Approved
SB22212,8953,TRUE,TRUE,15123187.00 ,9911747.13 ,Approved
SB22213,9353,TRUE,TRUE,21500.00 ,20200.00 ,Approved
SB22214,8954,TRUE,TRUE,1186119.00 ,759825.00 ,Approved
SB22215,8955,TRUE,TRUE,1320000.00 ,882392.00 ,Approved
SB22216,8956,TRUE,TRUE,715000.00 ,650000.00 ,Approved
SB22217,8957,TRUE,TRUE,235294.50 ,177136.00 ,Approved
SB22218,9574,TRUE,TRUE,2319150.00 ,1999640.00 ,Approved
SB22219,9702,TRUE,TRUE,7700.00 ,3500.00 ,Approved
SB22220,8958,TRUE,TRUE,107800.00 ,73679.00 ,Approved
SB22221,8959,TRUE,TRUE,139700.00 ,50889.00 ,Approved
SB22222,8960,TRUE,TRUE,1270000.00 ,1200000.00 ,Approved
SB22223,8961,TRUE,TRUE,507000.00 ,380250.00 ,Approved
SB22224,8962,TRUE,TRUE,1486322.20 ,970354.00 ,Approved
SB22225,9575,TRUE,TRUE,264000.00 ,178586.00 ,Approved
SB22226,9354,TRUE,TRUE,107296.29 ,121385.50 ,Approved
SB22227,8963,TRUE,TRUE,2663421.28 ,2298425.00 ,Approved
SB22228,9576,TRUE,TRUE,1270843.00 ,930616.00 ,Approved
SB22229,8964,TRUE,TRUE,116820.00 ,81200.00 ,Approved
SB22230,8965,TRUE,TRUE,471790.00 ,160000.00 ,Approved
SB22231,8966,TRUE,TRUE,983679.00 ,739026.00 ,Approved
SB22232,8967,TRUE,TRUE,118360.00 ,83027.00 ,Approved
SB22233,9703,TRUE,TRUE,1748353.00 ,923846.00 ,Approved
SB22234,8968,TRUE,TRUE,29613.00 ,7238.00 ,Approved
SB22235,8969,TRUE,TRUE,1232935.00 ,666228.26 ,Approved
SB22236,9704,TRUE,TRUE,2602500.00 ,2050717.50 ,Approved
SB22237,8970,TRUE,TRUE,180000.00 ,170000.00 ,Approved
SB22238,8971,TRUE,TRUE,1344079.00 ,848182.00 ,Approved
SB22239,8972,TRUE,TRUE,2818920.50 ,2111154.00 ,Approved
SB22240,8973,TRUE,TRUE,987250.00 ,740437.50 ,Approved
SB22241,8974,TRUE,TRUE,416572.18 ,227879.00 ,Approved
SB22242,8975,TRUE,TRUE,1187115.00 ,958250.00 ,Approved
SB22243,8976,TRUE,TRUE,1674972.43 ,1377421.00 ,Approved
SB22244,9577,TRUE,TRUE,226800.00 ,158829.00 ,Approved
SB22245,8977,TRUE,TRUE,204000.00 ,124500.00 ,Approved
SB22246,8978,TRUE,TRUE,1456766.00 ,978905.00 ,Approved
SB22247,8979,TRUE,TRUE,151074.00 ,118660.00 ,Approved
SB22248,9705,TRUE,TRUE,149600.00 ,112200.00 ,Approved
SB22249,8980,TRUE,TRUE,11685140.00 ,11047704.00 ,Approved
SB22250,8981,TRUE,TRUE,1493407.30 ,1234897.00 ,Approved
SB22251,8982,TRUE,TRUE,1737450.00 ,1237500.00 ,Approved
SB22252,8983,TRUE,TRUE,1600000.00 ,1104370.81 ,Approved
SB22253,8984,TRUE,TRUE,6127633.00 ,5032889.38 ,Approved
SB22254,8985,TRUE,TRUE,46500000.00 ,37620500.00 ,Approved
SB22255,8986,TRUE,TRUE,806058.00 ,740828.00 ,Approved
SB22256,8987,TRUE,TRUE,1432519.00 ,1375471.99 ,Approved
SB22257,8988,TRUE,TRUE,1685000.00 ,1263750.00 ,Approved
SB22258,8989,TRUE,TRUE,695602.00 ,461623.00 ,Approved
SB22259,8990,TRUE,TRUE,310750.00 ,241800.00 ,Approved
SB22260,8991,TRUE,TRUE,99110.00 ,55000.00 ,Approved
SB22261,8992,TRUE,TRUE,835796.00 ,702221.00 ,Approved
SB22262,8993,TRUE,TRUE,400400.00 ,261750.00 ,Approved
SB22263,8994,TRUE,TRUE,19679990.00 ,14759992.50 ,Approved
SB22264,8995,TRUE,TRUE,1300000.00 ,975000.00 ,Approved
SB22265,8996,TRUE,TRUE,11000.00 ,8250.00 ,Approved
SB22266,8997,TRUE,TRUE,1829275.00 ,1162600.00 ,Approved
SB22267,8998,TRUE,TRUE,9458093.00 ,7431040.27 ,Approved
SB22268,8999,TRUE,TRUE,3411474.00 ,2100000.00 ,Approved
SB22269,9000,TRUE,TRUE,11299417.00 ,3640000.00 ,Approved
SB22270,9001,TRUE,TRUE,3731486.00 ,2798614.50 ,Approved
SB22271,9002,TRUE,TRUE,468214.00 ,351160.50 ,Approved
SB22272,9003,TRUE,TRUE,38283592.00 ,28712694.00 ,Approved
SB22273,9004,TRUE,TRUE,2100263.00 ,1575197.25 ,Approved
SB22274,9005,TRUE,TRUE,163680.00 ,122760.00 ,Approved
SB22275,9578,TRUE,TRUE,15660.00 ,11745.00 ,Approved
SB22276,9006,TRUE,TRUE,81840.00 ,61380.00 ,Approved
SB22277,9007,TRUE,TRUE,3234784.00 ,2426088.00 ,Approved
SB22278,9579,TRUE,TRUE,14527205.00 ,10895403.75 ,Approved
SB22279,9008,TRUE,TRUE,380600.00 ,285450.00 ,Approved
SB22280,9009,TRUE,TRUE,1451280.00 ,1088460.00 ,Approved
SB22281,9010,TRUE,TRUE,3420956.00 ,2565717.00 ,Approved
SB22282,9011,TRUE,TRUE,354542.00 ,265906.50 ,Approved
SB22283,9012,TRUE,TRUE,10450.00 ,7837.50 ,Approved
SB22284,9355,TRUE,TRUE,21500.00 ,16125.00 ,Approved
SB22285,9013,TRUE,TRUE,657481.00 ,493110.75 ,Approved
SB22286,9014,TRUE,TRUE,25107.00 ,18830.25 ,Approved
SB22287,9015,TRUE,TRUE,47183.00 ,35387.25 ,Approved
SB22288,9016,TRUE,TRUE,655930.00 ,491947.50 ,Approved
SB22289,9017,TRUE,TRUE,781000.00 ,585750.00 ,Approved
SB22290,9018,TRUE,TRUE,570000.00 ,427500.00 ,Approved
SB22291,9019,TRUE,TRUE,873856.00 ,655392.00 ,Approved
SB22292,9020,TRUE,TRUE,9350.00 ,7012.50 ,Approved
SB22293,9580,TRUE,TRUE,239424.00 ,179568.00 ,Approved
SB22294,9021,TRUE,TRUE,17462.00 ,13096.50 ,Approved
SB22295,9022,TRUE,TRUE,525937.50 ,394453.13 ,Approved
SB22296,9023,TRUE,TRUE,300000.00 ,225000.00 ,Approved
SB22297,9024,TRUE,TRUE,622248.00 ,466686.00 ,Approved
SB22298,9025,TRUE,TRUE,300000.00 ,225000.00 ,Approved
SB22299,9026,TRUE,TRUE,29920.00 ,22440.00 ,Approved
SB22300,9027,TRUE,TRUE,300782.00 ,225586.50 ,Approved
SB22301,9028,TRUE,TRUE,838980.00 ,629235.00 ,Approved
SB22302,9029,TRUE,TRUE,230844.00 ,173133.00 ,Approved
SB22303,9030,TRUE,TRUE,6182956.00 ,4637217.00 ,Approved
SB22304,9031,TRUE,TRUE,286691.00 ,215018.25 ,Approved
