Name,Account
Advertisement Expenses,10166 ADVERTISEMENT EXPENSES
Air Cargo Charges - Events,1040 Air Cargo Charges - Events
Air Fare,10149 AIR TRAVEL FARE
Air Fare - Events,1042 Air Fare - Events
Air Transport,10149 AIR TRAVEL FARE
Air Travel Fare,10149 AIR TRAVEL FARE
Asset Maintainance Charges,10113 ASSET MAINTAINANCE CHARGES
Auditors Remuneration,10120 AUDITORS REMUNERATION
Business Development Charges,1005 Business Development Charges
Car Hire Charges - Events,1043 Car Hire Charges - Events
Car Hire Expenses,10152 CAR HIRE EXPENSES
Car Hire Expenses,10152 CAR HIRE EXPENSES
Catridge Expenses,10099 CATRIDGE EXPENSES
Catridge Expenses - Events,1006 Catridge Expenses - Events
Client Meeting,10164 CLIENT MEETING
Computer Exp (Foreign Currency),10101 COMPUTER EXP (FOREIGN CURRENCY)
Computer Expenses,10100 COMPUTER EXPENSES
Computer Expenses - Events,1007 Computer Expenses - Events
Computer Hire Charges,10102 COMPUTER HIRE CHARGES
Computer Hire Charges - Events,1008 Computer Hire Charges - Events
Consultancy Fees,10130 CONSULTANCY FEES
Conveyance,10151 CONVEYANCE
Conveyance - Events,1044 Conveyance - Events
Conveyance Expense For New Business,10172 CONVEYANCE EXPENSE FOR NEW BUSINESS
Courier Charges - Events,1009 Courier Charges - Events
Database Management Charges,10175 DATABASE MANAGEMENT CHARGES
Digital Signature Expenses,10129 DIGITAL SIGNATURE EXPENSES
Entry Fees (Foreign Currency),1052 Entry Fees (Foreign Currency)
Entry Fees For Awards,10124 ENTRY FEES FOR AWARDS
Equipment & Technical Operation Charges,1003 Equipment & Technical Operation Charges
Event Expenses - Foreign Currency,1012 Event Expenses - Foreign Currency
Event Expenses - Foreign Remittance,1013 Event Expenses - Foreign Remittance
Event Expenses - Giveaways,1010 Event Expenses - Giveaways
Event Expenses - Others,1011 Event Expenses - Others
Event Management Charges,1014 Event Management Charges
Excess Baggage - Events,1015 Excess Baggage - Events
Exchange Rate Differences,1016 Exchange Rate Differences
Expenses on AVs / Films,1017 Expenses on AVs / Films
F&B Charges Events,1018 F&B Charges Events
Filing Fees,10123 FILING FEES
Franking & Notary Expenses,10265 FRANKING & NOTARY EXPENSES
General Expenses,10219 PROFIT OR LOSS ON ASSETS WRITTEN-OFF
Hotel & Food Expenses,10150 HOTEL & FOOD EXPENSES
Hotel Expense For New Business,10170 HOTEL EXPENSE FOR NEW BUSINESS
Ineligible CGST Input,1035 Ineligible CGST Input
Ineligible IGST Input,1036 Ineligible IGST Input
Ineligible SGST Input,1037 Ineligible SGST Input
Insurance - Other Than Car,10148 INSURANCE - OTHER THAN CAR
Insurance Expenses - Events,1019 Insurance Expenses - Events
Inter Office Expenses,1048 Inter Office Expenses
Internet Expense Office,10103 INTERNET EXPENSE OFFICE
Internet Expenses - Events,1020 Internet Expenses - Events
Land Line,1054 Land Line
Legal & Professional Charges,10119 LEGAL & PROFESSIONAL CHARGES
Licence Fees,1050 Licence Fees
License Fees-Foreign Currency,1051 License Fees-Foreign Currency
Manpower Supply,1021 Manpower Supply
Marketing Expenses,10168 MARKETING EXPENSES
Membership & Subscription,10121 MEMBERSHIP & SUBSCRIPTION
Mobile Expenses,1055 Mobile Expenses
Motor Car Expenses,10155 MOTOR CAR EXPENSES
New Business Devlopement Expenses,10169 NEW BUSINESS DEVLOPEMENT EXPENSES
Office Car Parking Charges,10116 OFFICE CAR PARKING CHARGES
Parking & Toll Charges,10154 PARKING & TOLL CHARGES
Performer Expenses,1022 Performer Expenses
Permission - Technical,1004 Permission - Technical
Permission Expenses,1023 Permission Expenses
Photography Expenses - Events,1024 Photography Expenses - Events
"Postage,Telegram & Courier Charges","10138 POSTAGE,TELEGRAM & COURIER CHARGES"
Printing & Stationery,10140 PRINTING & STATIONERY
Printing & Stationery - Events,1025 Printing & Stationery - Events
Processing Fees,10270 PROCESSING FEES
Professional Fee - Events,1026 Professional Fee - Events
Promotion/Mktng expenses,10174 PROMOTION/MKTNG EXPENSES
Public Performance Licence,1027 Public Performance Licence
Recruitment Expenses,10160 RECRUITMENT EXPENSES
Recruitment Expenses-Foreign Currency,1056 Recruitment Expenses-Foreign Currency
Rent Office,10105 RENT OFFICE
Rent Storage Room,10106 RENT STORAGE ROOM
Repair & Maintenance Computer,10098 REPAIR & MAINTENANCE COMPUTER
Repairs & Maintenance Office,10111 REPAIRS & MAINTENANCE OFFICE
Security Charges,10112 SECURITY CHARGES
Security Charges - Events,1028 Security Charges - Events
Seminar & Conference,10162 SEMINAR & CONFERENCE
Site Expenses - Events,1029 Site Expenses - Events
Sponsorship Expense,10131 SPONSORSHIP EXPENSE
Sponsorship Fees,1030 Sponsorship Fees
Staff Training Expenses,10163 STAFF TRAINING EXPENSES
Staff Welfare - Others,10089 STAFF WELFARE - OTHERS
Staff Welfare - Pantry Items,10090 STAFF WELFARE - PANTRY ITEMS
Stage & Set Expenses - Events,1039 Stage & Set Expenses - Events
Stage & Set Expenses - Others,1038 Stage & Set Expenses - Others
Stay Charges - Events,1045 Stay Charges - Events
Tea & Coffee Expenses,1049 Tea & Coffee Expenses
Telemarketing Executive Expenses - Events,1031 Telemarketing Executive Expenses - Events
Telephone Expenses (Others),10091 TELEPHONE EXPENSES (OTHERS)
Test Category,6000 Expenses
Ticket Cancellation Charges,10153 TICKET CANCELLATION CHARGES
Toll Expenses - Events,1032 Toll Expenses - Events
Train & Bus Fare - Events,1046 Train & Bus Fare - Events
Transaction Expenses,10136 TRANSACTION EXPENSES
Transport Expenses - Events,1041 Transport Expenses - Events
Travel,1042 Air Fare - Events
Travel Expense For New Business,10171 TRAVEL EXPENSE FOR NEW BUSINESS
Travelling Exp (Foreign Currency),10157 TRAVELLING EXP (FOREIGN CURRENCY)
Travelling Exp - Events,1047 Travelling Exp - Events
Travelling Exp Director,10156 TRAVELLING EXP DIRECTOR
Tv Charges,10192 TV CHARGES
Vehicle Expenses - Insurance,10147 VEHICLE EXPENSES - INSURANCE
Venue Booking Charges - Events,1033 Venue Booking Charges - Events
Venue Cost and F & B,1034 Venue Cost and F & B
Visa Charges,10158 VISA CHARGES
Water Charges,10117 WATER CHARGES
